day,stage_slug,artist_name,starts_at,ends_at,notes
2026-08-01,doll-factory,"愛乙女☆DOLL",10:00,10:20,
2026-08-01,doll-factory,"シャニムニ=パレード ONLY FIVEステージ",10:20,10:40,
2026-08-01,doll-factory,"ラストシーン",10:40,11:00,
2026-08-01,doll-factory,"W.ダブルヴィー",11:05,11:25,
2026-08-01,doll-factory,"RiNCENT♯",11:25,11:45,
2026-08-01,doll-factory,"葵乃まみ Road to TIF 2026 屋内ステージブロック2位",11:45,12:05,
2026-08-01,doll-factory,"WHITE SCORPION",12:10,12:30,
2026-08-01,doll-factory,"feelNEO",12:30,12:50,
2026-08-01,doll-factory,"Kolokol",12:50,13:10,
2026-08-01,doll-factory,"カフェオーレ（乃木坂46 五百城茉央＆奥田いろは）",13:20,13:40,
2026-08-01,doll-factory,"Rain Tree",13:40,14:00,
2026-08-01,doll-factory,"iON!",14:00,14:20,
2026-08-01,doll-factory,"himawari（船橋）",14:25,14:45,
2026-08-01,doll-factory,"SITUASION",14:45,15:05,
2026-08-01,doll-factory,"zanka",15:05,15:25,
2026-08-01,doll-factory,"ばってん少女隊",15:30,16:00,
2026-08-01,doll-factory,"ナナコロビヤオキ",16:00,16:20,
2026-08-01,doll-factory,"KLP48",16:20,16:40,
2026-08-01,doll-factory,"Merry BAD TUNE.",16:45,17:05,
2026-08-01,doll-factory,"THE ORCHESTRA TOKYO",17:05,17:25,
2026-08-01,doll-factory,"buGG ONLY FIVEステージ",17:25,17:45,
2026-08-01,doll-factory,"Ill",17:50,18:10,
2026-08-01,doll-factory,"Axelight",18:10,18:30,
2026-08-01,doll-factory,"Tohkei",18:30,18:50,
2026-08-01,doll-factory,"アップアップガールズ（2）",18:55,19:15,
2026-08-01,doll-factory,"ネコプラpixx. ONLY FIVEステージ",19:15,19:35,
2026-08-01,doll-factory,"こみっきゅおん!",19:35,19:55,
2026-08-01,doll-factory,"JamsCollection",20:00,20:20,
2026-08-01,doll-factory,"まねきケチャ",20:20,20:40,
2026-08-01,doll-factory,"ドラマチックレコード",20:40,21:00,
