day,stage_slug,artist_name,starts_at,ends_at,notes
2026-08-01,heat-garage,"Tシャツ着用者限定ステージ HEROINES DAY TENRIN / MEGAFON / 夜光性アミューズ",10:00,10:30,
2026-08-01,heat-garage,"ロージークロニクル",10:45,11:10,
2026-08-01,heat-garage,"AVAM",11:10,11:35,
2026-08-01,heat-garage,"AdamLilith",11:35,12:00,
2026-08-01,heat-garage,"手羽先センセーション",12:10,12:35,
2026-08-01,heat-garage,"PIGGS",12:35,13:00,
2026-08-01,heat-garage,"i-COL",13:00,13:25,
2026-08-01,heat-garage,"MyDearDarlin'",13:25,13:50,
2026-08-01,heat-garage,"TIF ASIA TOUR 2026 スペシャルライブステージ",14:05,15:05,
2026-08-01,heat-garage,"後藤真希",15:15,15:40,
2026-08-01,heat-garage,"@onefive",15:40,16:05,
2026-08-01,heat-garage,"CYNHN",16:05,16:30,
2026-08-01,heat-garage,"衛星とカラテア",16:40,17:05,
2026-08-01,heat-garage,"Palette Parade",17:05,17:30,
2026-08-01,heat-garage,"ジエメイ",17:30,17:55,
2026-08-01,heat-garage,"AsIs",18:10,18:35,
2026-08-01,heat-garage,"Mirror,Mirror",18:35,19:00,
2026-08-01,heat-garage,"MEGAFON",19:00,19:25,
2026-08-01,heat-garage,"Onephony",19:35,20:00,
2026-08-01,heat-garage,"FES☆TIVE",20:00,20:25,
2026-08-01,heat-garage,"fav me",20:25,20:50,
