day,stage_slug,artist_name,starts_at,ends_at,notes
2026-08-01,hot-stage,"UtaGe!",09:50,10:20,
2026-08-01,hot-stage,"INUWASI",10:30,11:00,
2026-08-01,hot-stage,"つばきファクトリー",11:10,11:40,
2026-08-01,hot-stage,"Devil ANTHEM.",11:50,12:20,
2026-08-01,hot-stage,"夜光性アミューズ",12:30,13:00,
2026-08-01,hot-stage,"TIF2026×UNIDOLステージ 高嶺のなでしこ",13:10,13:25,
2026-08-01,hot-stage,"Appare!",13:35,14:05,
2026-08-01,hot-stage,"i☆Ris",14:15,14:45,
2026-08-01,hot-stage,"iLiFE! × NEO JAPONISM",14:55,15:25,
2026-08-01,hot-stage,"HKT48",15:35,16:05,
2026-08-01,hot-stage,"虹のコンキスタドール",16:25,16:55,
2026-08-01,hot-stage,"のんふぃく！",17:05,17:35,
2026-08-01,hot-stage,"SKE48",17:45,18:15,
2026-08-01,hot-stage,"僕が見たかった青空",18:25,18:55,
2026-08-01,hot-stage,"≒JOY",19:05,19:35,
2026-08-01,hot-stage,"≠ME",19:45,20:15,
2026-08-01,hot-stage,"=LOVE",20:25,20:55,
