day,stage_slug,artist_name,starts_at,ends_at,notes
2026-08-01,sky-stage,"ChumToto",10:15,10:30,
2026-08-01,sky-stage,"Pastel Closet",10:30,10:45,
2026-08-01,sky-stage,"Primulav",10:45,11:00,
2026-08-01,sky-stage,"Luce Twinkle Wink☆",11:00,11:15,
2026-08-01,sky-stage,"木苺FRUCTOSE",11:20,11:35,
2026-08-01,sky-stage,"LinQ",11:35,11:50,
2026-08-01,sky-stage,"KLP48",11:50,12:05,
2026-08-01,sky-stage,"@onefive",12:05,12:20,
2026-08-01,sky-stage,"アイテムはてるてるのみ ONLY FIVEステージ",12:25,12:40,
2026-08-01,sky-stage,"KAWAII LAB. MATES",12:40,12:55,
2026-08-01,sky-stage,"すーぱーぷーばぁー!!",12:55,13:10,
2026-08-01,sky-stage,"NANIMONO",13:10,13:25,
2026-08-01,sky-stage,"ラストシーン",14:25,14:40,
2026-08-01,sky-stage,"Falench. ONLY FIVEステージ",14:40,14:55,
2026-08-01,sky-stage,"まねきケチャ",14:55,15:10,
2026-08-01,sky-stage,"さよならステイチューン",15:10,15:25,
2026-08-01,sky-stage,"THE ENCORE",15:30,15:45,
2026-08-01,sky-stage,"ジエメイ",15:45,16:00,
2026-08-01,sky-stage,"NEKIRU",16:00,16:15,
2026-08-01,sky-stage,"Task have Fun",16:15,16:30,
2026-08-01,sky-stage,"さとりモンスター",16:35,16:50,
2026-08-01,sky-stage,"きのホ。",16:50,17:05,
2026-08-01,sky-stage,"Kolokol",17:05,17:20,
2026-08-01,sky-stage,"INUWASI",17:20,17:35,
2026-08-01,sky-stage,"わーすた",17:45,18:00,
2026-08-01,sky-stage,"君に、胸キュン。",18:00,18:15,
2026-08-01,sky-stage,"カラフルスクリーム",18:15,18:30,
2026-08-01,sky-stage,"メイビーME",18:30,18:45,
2026-08-01,sky-stage,"Merry BAD TUNE.",18:50,19:05,
2026-08-01,sky-stage,"Devil ANTHEM.",19:05,19:20,
2026-08-01,sky-stage,"点染テンセイ少女。",19:20,19:35,
2026-08-01,sky-stage,"Ill",19:35,19:50,
2026-08-01,sky-stage,"SITUASION",19:55,20:10,
2026-08-01,sky-stage,"Ringwanderung",20:10,20:25,
2026-08-01,sky-stage,"衛星とカラテア",20:25,20:40,
