day,stage_slug,artist_name,starts_at,ends_at,notes
2026-08-01,smile-garden,"ラジオ体操",09:45,10:00,
2026-08-01,smile-garden,"KAWAII LAB. MATES",10:00,10:20,
2026-08-01,smile-garden,"ラナキュラ",10:20,10:40,
2026-08-01,smile-garden,"THE ORCHESTRA TOKYO",10:40,11:00,
2026-08-01,smile-garden,"i-COL",11:10,11:30,
2026-08-01,smile-garden,"アンスリューム",11:30,11:50,
2026-08-01,smile-garden,"二丁目の魁カミングアウト",11:50,12:10,
2026-08-01,smile-garden,"Peel the Apple",12:20,12:40,
2026-08-01,smile-garden,"ラフ×ラフ",12:45,13:05,
2026-08-01,smile-garden,"なみだ色の消しごむ",13:05,13:25,
2026-08-01,smile-garden,"ばってん少女隊",13:35,13:55,
2026-08-01,smile-garden,"きのホ。",13:55,14:15,
2026-08-01,smile-garden,"fishbowl",14:15,14:35,
2026-08-01,smile-garden,"にしたんクリニック タンバリンダンス選手権 タイトル未定 / Merry BAD TUNE. / ラフ×ラフ",14:45,15:05,
2026-08-01,smile-garden,"AOSTARIA TIF de Debut 2026",15:05,15:20,
2026-08-01,smile-garden,"ハルニシオン",15:20,15:40,
2026-08-01,smile-garden,"CiON",15:40,16:00,
2026-08-01,smile-garden,"CYBERJAPAN DANCERS",16:10,16:30,
2026-08-01,smile-garden,"スペシャルコラボステージ Jams Collection × Rain Tree",16:30,16:55,
2026-08-01,smile-garden,"Ringwanderung",16:55,17:15,
2026-08-01,smile-garden,"タイトル未定",17:25,17:45,
2026-08-01,smile-garden,"高嶺のなでしこ",17:55,18:15,
2026-08-01,smile-garden,"諸橋沙夏（=LOVE）",18:15,18:35,
2026-08-01,smile-garden,"IDOL SUMMER JAMBOREE ACOUSTIC",18:55,19:30,
2026-08-01,smile-garden,"Task have Fun",19:40,20:00,
2026-08-01,smile-garden,"わーすた",20:00,20:20,
2026-08-01,smile-garden,"iLiFE!",20:20,20:40,
