day,stage_slug,artist_name,starts_at,ends_at,notes
2026-08-01,torocco-park,"可憐なアイボリー",10:00,10:20,
2026-08-01,torocco-park,"すーぱーぷーばぁー!!",10:20,10:40,
2026-08-01,torocco-park,"アップアップガールズ（仮）",10:40,11:00,
2026-08-01,torocco-park,"KAWAII LAB. SOUTH",11:05,11:25,
2026-08-01,torocco-park,"限りなく白く",11:25,11:45,
2026-08-01,torocco-park,"Jewel☆Garden Road to TIF 2026 屋外ステージブロック2位",11:45,12:05,
2026-08-01,torocco-park,"びっくえんじぇる",12:10,12:30,
2026-08-01,torocco-park,"MAGICAL SPEC",12:30,12:50,
2026-08-01,torocco-park,"メイビーME",12:50,13:10,
2026-08-01,torocco-park,"最終未来少女",13:15,13:35,
2026-08-01,torocco-park,"TENRIN",13:35,13:55,
2026-08-01,torocco-park,"ROOKEY♡ROOKEYS",13:55,14:15,
2026-08-01,torocco-park,"フューチャーサイダー",14:25,14:45,
2026-08-01,torocco-park,"カラフルスクリーム",14:45,15:05,
2026-08-01,torocco-park,"fav me",15:05,15:25,
2026-08-01,torocco-park,"LinQ",15:30,15:50,
2026-08-01,torocco-park,"NANIMONO",15:50,16:10,
2026-08-01,torocco-park,"シンデレラ宣言！",16:10,16:30,
2026-08-01,torocco-park,"AdamLilith",16:35,16:55,
2026-08-01,torocco-park,"RAViDAVi",16:55,17:15,
2026-08-01,torocco-park,"NEO JAPONISM",17:15,17:35,
2026-08-01,torocco-park,"クマリデパート",17:40,18:00,
2026-08-01,torocco-park,"アンスリューム",18:00,18:20,
2026-08-01,torocco-park,"iON!",18:20,18:40,
