day,stage_slug,artist_name,starts_at,ends_at,notes
2026-08-01,ukishima-stage,"さとりモンスター",10:00,10:15,
2026-08-01,ukishima-stage,"君に、胸キュン。",10:15,10:30,
2026-08-01,ukishima-stage,"ラフ×ラフ",10:30,10:45,
2026-08-01,ukishima-stage,"NEKIRU",10:45,11:00,
2026-08-01,ukishima-stage,"さよならステイチューン",11:05,11:20,
2026-08-01,ukishima-stage,"THE ENCORE",11:20,11:35,
2026-08-01,ukishima-stage,"高嶺のなでしこ",11:35,11:50,
2026-08-01,ukishima-stage,"愛乙女☆DOLL",11:50,12:05,
2026-08-01,ukishima-stage,"ChumToto",12:15,12:30,
2026-08-01,ukishima-stage,"Primulav",12:30,12:45,
2026-08-01,ukishima-stage,"可憐なアイボリー",12:45,13:00,
2026-08-01,ukishima-stage,"AVAM",13:00,13:15,
2026-08-01,ukishima-stage,"zanka",13:20,13:35,
2026-08-01,ukishima-stage,"Axelight",13:35,13:50,
2026-08-01,ukishima-stage,"点染テンセイ少女。",13:50,14:05,
2026-08-01,ukishima-stage,"PIGGS",14:05,14:20,
2026-08-01,ukishima-stage,"ドラマチックレコード",14:30,14:45,
2026-08-01,ukishima-stage,"アップアップガールズ（仮）",14:45,15:00,
2026-08-01,ukishima-stage,"二丁目の魁カミングアウト",15:00,15:15,
2026-08-01,ukishima-stage,"UtaGe!",15:15,15:30,
2026-08-01,ukishima-stage,"Pastel Closet",15:35,15:50,
2026-08-01,ukishima-stage,"アップアップガールズ（2）",15:50,16:05,
2026-08-01,ukishima-stage,"木苺FRUCTOSE",16:05,16:20,
2026-08-01,ukishima-stage,"MEGAFON",16:20,16:35,
2026-08-01,ukishima-stage,"Luce Twinkle Wink☆",16:45,17:00,
2026-08-01,ukishima-stage,"FES☆TIVE",17:00,17:15,
2026-08-01,ukishima-stage,"feelNEO",17:15,17:30,
2026-08-01,ukishima-stage,"Appare!",17:30,17:45,
2026-08-01,ukishima-stage,"CYBERJAPAN DANCERS",17:45,18:00,
